SubjectID,Date,LocalTime,UnityTime,Phase,BlockNumber,TrialNumber,Step,TrialTime,xPos,yPos,zPos,xRot,yRot,zRot
SubjectID,Date,LocalTime,UnityTime,Phase,BlockNumber,TrialNumber,Step,TrialTime,xPos,yPos,zPos,xRot,yRot,zRot
,3_9,20_21_59,0.01999999,0,0,0,0,0.01999999,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.06246319,0,0,0,0,0.06246319,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.06849349,0,0,0,0,0.06849349,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.07173029,0,0,0,0,0.07173029,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.07543249,0,0,0,0,0.07543249,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.07888199,0,0,0,0,0.07888199,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.0825595,0,0,0,0,0.0825595,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.0862807,0,0,0,0,0.0862807,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.0901292,0,0,0,0,0.0901292,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.09348349,0,0,0,0,0.09348349,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.0969307,0,0,0,0,0.0969307,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.1002817,0,0,0,0,0.1002817,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.1037926,0,0,0,0,0.1037926,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.1078673,0,0,0,0,0.1078673,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.11174,0,0,0,0,0.11174,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.1151509,0,0,0,0,0.1151509,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.1187155,0,0,0,0,0.1187155,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.122453,0,0,0,0,0.122453,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.1259908,0,0,0,0,0.1259908,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.1300081,0,0,0,0,0.1300081,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.1339247,0,0,0,0,0.1339247,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.1374898,0,0,0,0,0.1374898,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.1409752,0,0,0,0,0.1409752,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.1445838,0,0,0,0,0.1445838,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.1480557,0,0,0,0,0.1480557,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.1517445,0,0,0,0,0.1517445,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.1586031,0,0,0,0,0.1586031,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.1619282,0,0,0,0,0.1619282,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.165705,0,0,0,0,0.165705,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.1695052,0,0,0,0,0.1695052,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.1734242,0,0,0,0,0.1734242,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.1768382,0,0,0,0,0.1768382,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.1803237,0,0,0,0,0.1803237,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.1839924,0,0,0,0,0.1839924,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.1876496,0,0,0,0,0.1876496,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.191449,0,0,0,0,0.191449,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.1953619,0,0,0,0,0.1953619,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.2023508,0,0,0,0,0.2023508,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.2095145,0,0,0,0,0.2095145,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.2160618,0,0,0,0,0.2160618,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.2198582,0,0,0,0,0.2198582,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.2232597,0,0,0,0,0.2232597,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.2270879,0,0,0,0,0.2270879,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.2305688,0,0,0,0,0.2305688,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.2341549,0,0,0,0,0.2341549,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.2377092,0,0,0,0,0.2377092,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.2413641,0,0,0,0,0.2413641,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.2450939,0,0,0,0,0.2450939,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.2485742,0,0,0,0,0.2485742,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.2520947,0,0,0,0,0.2520947,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.2557409,0,0,0,0,0.2557409,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.2591754,0,0,0,0,0.2591754,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.2628281,0,0,0,0,0.2628281,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.2664157,0,0,0,0,0.2664157,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.2697599,0,0,0,0,0.2697599,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.2732593,0,0,0,0,0.2732593,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.2766173,0,0,0,0,0.2766173,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.2801325,0,0,0,0,0.2801325,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.2838453,0,0,0,0,0.2838453,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.2871895,0,0,0,0,0.2871895,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.2906056,0,0,0,0,0.2906056,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.2941564,0,0,0,0,0.2941564,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.297568,0,0,0,0,0.297568,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.3032597,0,0,0,0,0.3032597,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.3104685,0,0,0,0,0.3104685,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.3137204,0,0,0,0,0.3137204,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.3172129,0,0,0,0,0.3172129,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.3208003,0,0,0,0,0.3208003,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.3245966,0,0,0,0,0.3245966,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
,3_9,20_21_59,0.3281368,0,0,0,0,0.3281368,0,1.36144,-1.124,352.8,4.299998,-2.689248E-08,
