SubjectID,Date,LocalTime,UnityTime,Phase,BlockNumber,TrialNumber,Step,TrialTime,xPos,yPos,zPos,xRot,yRot,zRot
0,4_3,11_24_18,3.997995,1,0,0,0,0.02269554,0.09953713,1.065279,0.132171,355.6068,353.6378,359.7454,
0,4_3,11_24_19,4.015107,1,0,0,0,0.03980684,0.09975398,1.065364,0.1321601,355.6176,353.633,359.737,
0,4_3,11_24_19,4.041897,1,0,0,0,0.06659746,0.0998286,1.065388,0.1321853,355.6268,353.6291,359.7147,
0,4_3,11_24_19,4.056197,1,0,0,0,0.08089733,0.0997864,1.065381,0.1321632,355.6414,353.6412,359.7144,
0,4_3,11_24_19,4.069011,1,0,0,0,0.09371138,0.09980834,1.065349,0.1322064,355.6464,353.6306,359.7181,
0,4_3,11_24_19,4.08049,1,0,0,0,0.1051898,0.09982443,1.065325,0.1322254,355.6694,353.6294,359.7387,
0,4_3,11_24_19,4.093392,1,0,0,0,0.1180925,0.09970164,1.065368,0.1323284,355.6724,353.6259,359.7427,
0,4_3,11_24_19,4.105232,1,0,0,0,0.1299324,0.0997082,1.065396,0.1323503,355.655,353.6095,359.7518,
0,4_3,11_24_19,4.117346,1,0,0,0,0.142046,0.09963107,1.065381,0.1323894,355.6489,353.6129,359.7475,
0,4_3,11_24_19,4.13034,1,0,0,0,0.1550403,0.09964669,1.06541,0.132386,355.6316,353.6038,359.7372,
0,4_3,11_24_19,4.143248,1,0,0,0,0.1679478,0.09965909,1.065432,0.1324271,355.6324,353.5956,359.7172,
0,4_3,11_24_19,4.156866,1,0,0,0,0.1815662,0.09967673,1.065475,0.1324664,355.6251,353.5921,359.6976,
0,4_3,11_24_19,4.168638,1,0,0,0,0.1933384,0.09964454,1.065507,0.1324869,355.6202,353.5894,359.6616,
0,4_3,11_24_19,4.180366,1,0,0,0,0.2050657,0.09966278,1.065492,0.1324922,355.6093,353.5917,359.6673,
0,4_3,11_24_19,4.192023,1,0,0,0,0.216723,0.09965289,1.065535,0.1325102,355.621,353.5926,359.6732,
0,4_3,11_24_19,4.204629,1,0,0,0,0.2293296,0.09970737,1.065499,0.1325222,355.6259,353.5958,359.676,
0,4_3,11_24_19,4.215867,1,0,0,0,0.2405667,0.09972799,1.065473,0.132478,355.6219,353.6056,359.6932,
0,4_3,11_24_19,4.227734,1,0,0,0,0.2524343,0.09977281,1.06548,0.1325217,355.627,353.6024,359.7031,
0,4_3,11_24_19,4.240776,1,0,0,0,0.2654762,0.09977102,1.06547,0.1325029,355.6083,353.6024,359.7097,
0,4_3,11_24_19,4.253896,1,0,0,0,0.2785964,0.09974492,1.065435,0.132494,355.6123,353.6061,359.7067,
0,4_3,11_24_19,4.265581,1,0,0,0,0.2902813,0.099751,1.065436,0.1324822,355.6108,353.6053,359.7082,
0,4_3,11_24_19,4.277806,1,0,0,0,0.3025064,0.09980428,1.06541,0.1324307,355.6039,353.6116,359.694,
0,4_3,11_24_19,4.289433,1,0,0,0,0.3141327,0.09983242,1.065446,0.1324455,355.6057,353.6098,359.6827,
0,4_3,11_24_19,4.301391,1,0,0,0,0.3260908,0.09990466,1.065411,0.1323959,355.6013,353.6031,359.6724,
0,4_3,11_24_19,4.314765,1,0,0,0,0.3394651,0.09979701,1.065359,0.1324033,355.6093,353.6024,359.6847,
0,4_3,11_24_19,4.326671,1,0,0,0,0.3513708,0.09980083,1.065365,0.1322495,355.5891,353.5986,359.6792,
0,4_3,11_24_19,4.339522,1,0,0,0,0.364222,0.09983826,1.065365,0.1322128,355.5838,353.5985,359.6896,
0,4_3,11_24_19,4.352789,1,0,0,0,0.3774891,0.0998466,1.0654,0.1321862,355.5807,353.5945,359.6913,
0,4_3,11_24_19,4.36473,1,0,0,0,0.38943,0.09984279,1.065445,0.1321726,355.5648,353.5883,359.701,
0,4_3,11_24_19,4.378973,1,0,0,0,0.4036736,0.09985852,1.065483,0.1320733,355.5507,353.6004,359.7028,
0,4_3,11_24_19,4.392677,1,0,0,0,0.4173775,0.09989393,1.065618,0.1319982,355.4828,353.6183,359.6805,
0,4_3,11_24_19,4.406915,1,0,0,0,0.4316154,0.0999428,1.065658,0.1320099,355.4836,353.6303,359.6584,
