SubjectID,Date,LocalTime,UnityTime,Phase,BlockNumber,TrialNumber,Step,TrialTime,xPos,yPos,zPos,xRot,yRot,zRot
0,6_4,16_56_57,13.85974,1,0,0,0,0.01755619,-0.1548737,1.172325,0.2239623,5.261543,354.6616,1.922675,
0,6_4,16_56_57,13.87669,1,0,0,0,0.03450489,-0.1551111,1.172158,0.22436,5.184226,354.7039,1.933986,
0,6_4,16_56_57,13.88763,1,0,0,0,0.04544353,-0.1551989,1.172119,0.2245412,5.170571,354.7059,1.977256,
0,6_4,16_56_57,13.89849,1,0,0,0,0.05630207,-0.1551913,1.172114,0.2247998,5.194036,354.7146,2.0467,
0,6_4,16_56_57,13.90922,1,0,0,0,0.06703281,-0.1551828,1.172065,0.2248989,5.199117,354.7129,2.125527,
0,6_4,16_56_57,13.92134,1,0,0,0,0.07915878,-0.1551794,1.172058,0.2250855,5.208831,354.7097,2.188439,
0,6_4,16_56_58,13.93264,1,0,0,0,0.09045887,-0.1551611,1.172098,0.2252445,5.202596,354.7125,2.237306,
0,6_4,16_56_58,13.94343,1,0,0,0,0.1012449,-0.1550872,1.172121,0.2253476,5.201997,354.707,2.270147,
0,6_4,16_56_58,13.95553,1,0,0,0,0.1133404,-0.1550053,1.172231,0.2255347,5.174744,354.7007,2.282948,
0,6_4,16_56_58,13.96635,1,0,0,0,0.1241617,-0.1548688,1.172369,0.2258184,5.110994,354.7127,2.284802,
0,6_4,16_56_58,13.97765,1,0,0,0,0.1354694,-0.1547823,1.172534,0.2260724,5.041892,354.7001,2.284123,
0,6_4,16_56_58,13.98962,1,0,0,0,0.1474333,-0.1546092,1.172729,0.2263167,4.968154,354.6923,2.299338,
0,6_4,16_56_58,14.00189,1,0,0,0,0.1597023,-0.1543732,1.172927,0.2265214,4.937472,354.6888,2.321562,
0,6_4,16_56_58,14.01507,1,0,0,0,0.1728888,-0.1539431,1.173249,0.2269417,4.921661,354.6957,2.413182,
0,6_4,16_56_58,14.02636,1,0,0,0,0.1841764,-0.1536291,1.173409,0.2271116,4.965603,354.7003,2.486678,
0,6_4,16_56_58,14.03878,1,0,0,0,0.1965961,-0.1533571,1.173616,0.227217,5.078596,354.735,2.587729,
0,6_4,16_56_58,14.05558,1,0,0,0,0.213398,-0.1529853,1.173783,0.2273076,5.199509,354.786,2.686836,
0,6_4,16_56_58,14.06648,1,0,0,0,0.2242985,-0.1527725,1.173949,0.2273551,5.260816,354.8314,2.759353,
0,6_4,16_56_58,14.07893,1,0,0,0,0.2367439,-0.1521767,1.174403,0.2275155,5.356502,354.9156,2.869873,
0,6_4,16_56_58,14.09146,1,0,0,0,0.2492752,-0.151847,1.174726,0.2275517,5.365496,354.9708,2.898285,
0,6_4,16_56_58,14.10251,1,0,0,0,0.2603245,-0.1516067,1.17504,0.227492,5.361856,355.0327,2.928086,
0,6_4,16_56_58,14.12303,1,0,0,0,0.2808485,-0.1510769,1.175634,0.2275016,5.322036,355.144,2.962377,
0,6_4,16_56_58,14.13448,1,0,0,0,0.2922983,-0.1508543,1.175868,0.227466,5.318435,355.2143,2.988535,
0,6_4,16_56_58,14.14593,1,0,0,0,0.3037424,-0.1506428,1.175928,0.2273588,5.287278,355.2654,2.990487,
0,6_4,16_56_58,14.15756,1,0,0,0,0.3153706,-0.1504642,1.175927,0.2272661,5.269701,355.3191,3.003001,
0,6_4,16_56_58,14.16859,1,0,0,0,0.3264017,-0.1503325,1.175885,0.2272221,5.242835,355.3423,3.002934,
0,6_4,16_56_58,14.17963,1,0,0,0,0.3374453,-0.1501805,1.1757,0.2270029,5.201481,355.3364,2.99361,
0,6_4,16_56_58,14.19085,1,0,0,0,0.3486671,-0.150121,1.175532,0.2268997,5.157612,355.3214,2.997364,
0,6_4,16_56_58,14.20375,1,0,0,0,0.3615608,-0.1500472,1.175247,0.2268308,5.094848,355.266,2.97176,
0,6_4,16_56_58,14.21444,1,0,0,0,0.3722582,-0.1500537,1.174943,0.2267468,5.051895,355.2078,2.939132,
0,6_4,16_56_58,14.22639,1,0,0,0,0.3842049,-0.1501383,1.174552,0.2266902,5.029541,355.1387,2.872475,
0,6_4,16_56_58,14.23736,1,0,0,0,0.3951759,-0.1502349,1.174077,0.2266151,5.023939,355.0761,2.797566,
0,6_4,16_56_58,14.24938,1,0,0,0,0.4071941,-0.1502975,1.173608,0.2265288,5.048627,355.0374,2.724293,
0,6_4,16_56_58,14.26241,1,0,0,0,0.4202204,-0.1504325,1.173129,0.2265522,5.092221,355.0159,2.655408,
0,6_4,16_56_58,14.27372,1,0,0,0,0.43153,-0.1505382,1.172714,0.2265124,5.139946,355.0215,2.588599,
0,6_4,16_56_58,14.28441,1,0,0,0,0.4422293,-0.1507096,1.172304,0.2264802,5.204739,355.0153,2.536302,
0,6_4,16_56_58,14.29664,1,0,0,0,0.4544573,-0.1508325,1.172023,0.2264355,5.281726,355.0217,2.513293,
0,6_4,16_56_58,14.30848,1,0,0,0,0.4662991,-0.1508931,1.171826,0.2262959,5.35814,355.0186,2.508511,
0,6_4,16_56_58,14.32049,1,0,0,0,0.4783039,-0.1510401,1.171708,0.2262337,5.414286,355.0194,2.538552,
0,6_4,16_56_58,14.33173,1,0,0,0,0.4895458,-0.1511447,1.171648,0.2262069,5.443198,355.0156,2.591729,
0,6_4,16_56_58,14.34291,1,0,0,0,0.5007296,-0.1512052,1.171676,0.226257,5.442522,355.0052,2.659518,
0,6_4,16_56_58,14.35449,1,0,0,0,0.5123043,-0.1512949,1.171759,0.226281,5.404318,354.9765,2.75374,
0,6_4,16_56_58,14.36565,1,0,0,0,0.5234613,-0.151446,1.171906,0.2262887,5.348684,354.9384,2.859758,
0,6_4,16_56_58,14.37643,1,0,0,0,0.5342493,-0.1515167,1.172048,0.226307,5.292444,354.9004,2.946573,
0,6_4,16_56_58,14.38743,1,0,0,0,0.5452404,-0.1516718,1.172279,0.2262485,5.238773,354.8559,3.018773,
0,6_4,16_56_58,14.39892,1,0,0,0,0.5567389,-0.1517106,1.172513,0.2261744,5.20215,354.8023,3.044752,
0,6_4,16_56_58,14.41043,1,0,0,0,0.5682411,-0.1517997,1.172768,0.2261624,5.14015,354.7552,3.022456,
0,6_4,16_56_58,14.42247,1,0,0,0,0.5802813,-0.1518024,1.173087,0.2260647,5.045739,354.7108,2.97368,
0,6_4,16_56_58,14.43347,1,0,0,0,0.5912819,-0.1517951,1.173353,0.2260994,4.89167,354.6568,2.925411,
0,6_4,16_56_58,14.44444,1,0,0,0,0.6022511,-0.1517972,1.173684,0.2261218,4.704589,354.5998,2.88332,
0,6_4,16_56_58,14.45551,1,0,0,0,0.6133223,-0.151817,1.174001,0.2262019,4.463623,354.5171,2.822806,
0,6_4,16_56_58,14.46656,1,0,0,0,0.6243773,-0.1518019,1.174271,0.2262496,4.23077,354.4216,2.763987,
0,6_4,16_56_58,14.47753,1,0,0,0,0.6353464,-0.1518519,1.174511,0.2263738,4.016185,354.3236,2.669747,
0,6_4,16_56_58,14.48822,1,0,0,0,0.6460352,-0.1518384,1.174632,0.2265099,3.819186,354.2146,2.558322,
0,6_4,16_56_58,14.49923,1,0,0,0,0.6570415,-0.1519054,1.174591,0.2267443,3.638305,354.1271,2.432021,
0,6_4,16_56_58,14.51041,1,0,0,0,0.6682272,-0.151901,1.174576,0.2269543,3.466941,354.0411,2.299138,
0,6_4,16_56_58,14.52149,1,0,0,0,0.6793041,-0.1518764,1.174546,0.2272235,3.299275,353.9484,2.145966,
0,6_4,16_56_58,14.53332,1,0,0,0,0.6911383,-0.1518384,1.174487,0.2275869,3.117894,353.8653,2.003358,
0,6_4,16_56_58,14.5444,1,0,0,0,0.7022123,-0.1519442,1.174428,0.2279562,2.942733,353.7855,1.893622,
0,6_4,16_56_58,14.55589,1,0,0,0,0.713706,-0.1518985,1.174348,0.2284304,2.77694,353.6842,1.812922,
0,6_4,16_56_58,14.5673,1,0,0,0,0.7251101,-0.1519142,1.174291,0.2289282,2.630326,353.5891,1.75542,
0,6_4,16_56_58,14.5783,1,0,0,0,0.7361193,-0.1518375,1.174271,0.2294459,2.513463,353.5104,1.696464,
0,6_4,16_56_58,14.59054,1,0,0,0,0.7483511,-0.1518109,1.174089,0.2305843,2.258235,353.3534,1.57639,
0,6_4,16_56_58,14.60136,1,0,0,0,0.7591753,-0.1517445,1.173986,0.2312477,2.164814,353.2998,1.515021,
0,6_4,16_56_58,14.6124,1,0,0,0,0.7702122,-0.1516855,1.17384,0.231988,2.044302,353.2531,1.446228,
0,6_4,16_56_58,14.62328,1,0,0,0,0.7810974,-0.1515993,1.173738,0.2328701,1.925972,353.2083,1.38334,
0,6_4,16_56_58,14.63465,1,0,0,0,0.7924614,-0.1515634,1.173643,0.233711,1.778719,353.1934,1.333304,
0,6_4,16_56_58,14.64731,1,0,0,0,0.8051243,-0.1514692,1.17354,0.234687,1.632163,353.1349,1.298918,
0,6_4,16_56_58,14.65833,1,0,0,0,0.8161488,-0.1514337,1.173547,0.2355219,1.494576,353.0859,1.278528,
0,6_4,16_56_58,14.66924,1,0,0,0,0.8270521,-0.1513497,1.173526,0.2364028,1.380296,353.0328,1.242961,
0,6_4,16_56_58,14.68044,1,0,0,0,0.8382521,-0.1512921,1.17355,0.237205,1.344431,352.9904,1.182033,
0,6_4,16_56_58,14.69233,1,0,0,0,0.8501472,-0.1512613,1.17353,0.237995,1.367767,352.9761,1.126006,
0,6_4,16_56_58,14.70345,1,0,0,0,0.8612652,-0.151214,1.173407,0.2387065,1.454929,353.0048,1.038498,
0,6_4,16_56_58,14.71431,1,0,0,0,0.8721218,-0.1511046,1.173261,0.2393794,1.560811,353.0283,0.9616183,
0,6_4,16_56_58,14.72525,1,0,0,0,0.8830624,-0.1509403,1.173079,0.2399008,1.695934,353.1168,0.9105666,
0,6_4,16_56_58,14.73653,1,0,0,0,0.8943434,-0.1507975,1.172875,0.2404025,1.795379,353.196,0.9046116,
0,6_4,16_56_58,14.74732,1,0,0,0,0.9051313,-0.1505829,1.172633,0.2408284,1.858369,353.2668,0.9332331,
0,6_4,16_56_58,14.75799,1,0,0,0,0.915803,-0.1503953,1.172412,0.2412208,1.868076,353.317,0.9974057,
0,6_4,16_56_58,14.76905,1,0,0,0,0.9268646,-0.1502312,1.172108,0.2416159,1.836926,353.3471,1.07491,
0,6_4,16_56_58,14.78008,1,0,0,0,0.9378901,-0.1499356,1.171726,0.2419221,1.770451,353.3541,1.157803,
0,6_4,16_56_58,14.79119,1,0,0,0,0.9490099,-0.1497406,1.171356,0.2422749,1.688428,353.3409,1.236399,
0,6_4,16_56_58,14.80225,1,0,0,0,0.9600658,-0.1495146,1.170916,0.24266,1.561316,353.3333,1.292975,
0,6_4,16_56_58,14.81335,1,0,0,0,0.9711685,-0.1492842,1.170399,0.2431126,1.409254,353.3256,1.337092,
0,6_4,16_56_58,14.82485,1,0,0,0,0.9826622,-0.1490326,1.169831,0.243561,1.240703,353.3031,1.362972,
0,6_4,16_56_58,14.83627,1,0,0,0,0.9940844,-0.1487799,1.169275,0.2440808,1.073624,353.3029,1.38938,
0,6_4,16_56_58,14.8481,1,0,0,0,1.005919,-0.1485296,1.168678,0.2446368,0.9107744,353.2917,1.405836,
0,6_4,16_56_58,14.85933,1,0,0,0,1.017141,-0.1483254,1.168099,0.2453766,0.7760239,353.257,1.431182,
