Timestamp (s),Frame,Emotion,Confidence (%)
0.03,1,happy,84.5
0.07,2,surprise,77.9
0.1,3,sad,48.8
0.13,4,sad,68.3
0.17,5,sad,78.9
0.2,6,sad,75.6
0.23,7,sad,90.6
0.27,8,sad,80.7
0.3,9,sad,63.8
0.33,10,happy,84.3
0.37,11,sad,54.2
0.4,12,happy,95.5
0.43,13,sad,62.3
0.47,14,happy,53.6
0.5,15,happy,93.5
0.53,16,happy,73.9
0.57,17,happy,87.1
0.6,18,happy,91.0
0.63,19,happy,86.6
0.67,20,happy,63.8
0.7,21,happy,52.1
0.73,22,happy,56.5
0.77,23,sad,51.4
0.8,24,happy,74.1
0.83,25,happy,74.4
0.87,26,happy,50.0
0.9,27,happy,45.9
0.93,28,happy,80.7
0.97,29,happy,67.7
1.0,30,neutral,40.3
1.03,31,neutral,39.2
1.07,32,happy,32.7
1.1,33,happy,34.4
1.13,34,happy,74.2
1.17,35,happy,60.7
1.2,36,happy,48.0
1.23,37,happy,44.2
1.27,38,happy,47.0
1.3,39,fear,54.9
1.33,40,fear,42.1
1.37,41,fear,38.8
1.4,42,sad,52.2
1.43,43,sad,57.6
1.47,44,sad,48.5
1.5,45,sad,56.4
1.53,46,sad,39.1
1.56,47,happy,46.7
1.6,48,happy,50.0
1.63,49,happy,61.1
1.66,50,sad,43.7
1.7,51,sad,89.4
1.73,52,sad,88.2
1.76,53,sad,78.3
1.8,54,sad,43.0
1.83,55,sad,55.1
1.86,56,sad,46.7
1.9,57,happy,47.2
1.93,58,happy,69.5
1.96,59,happy,97.7
2.0,60,happy,92.2
2.03,61,happy,87.2
2.06,62,happy,71.5
2.1,63,happy,62.4
2.13,64,happy,67.2
2.16,65,happy,69.3
2.2,66,happy,71.3
2.23,67,happy,71.4
2.26,68,happy,69.1
2.3,69,happy,75.5
2.33,70,happy,66.5
2.36,71,happy,87.8
2.4,72,happy,92.8
2.43,73,happy,91.8
2.46,74,happy,96.8
2.5,75,happy,97.1
2.53,76,happy,98.6
2.56,77,happy,97.9
2.6,78,happy,98.6
2.63,79,happy,99.4
2.66,80,happy,89.8
2.7,81,happy,91.3
2.73,82,happy,94.8
2.76,83,happy,99.8
2.8,84,happy,98.4
2.83,85,happy,95.8
2.86,86,happy,90.9
2.9,87,sad,86.9
2.93,88,sad,99.6
2.96,89,sad,99.5
3.0,90,sad,99.1
3.03,91,sad,92.5
3.06,92,sad,74.7
3.1,93,sad,83.6
3.13,94,sad,74.6
3.16,95,sad,92.7
3.2,96,sad,99.4
3.23,97,sad,97.1
3.26,98,sad,60.6
3.3,99,happy,97.9
3.33,100,happy,99.0
3.36,101,happy,99.6
3.4,102,happy,90.2
3.43,103,sad,54.0
3.46,104,sad,51.2
3.5,105,surprise,49.0
3.53,106,sad,45.2
3.56,107,neutral,49.0
3.6,108,sad,62.9
3.63,109,neutral,78.8
3.66,110,neutral,74.5
3.7,111,neutral,81.2
3.73,112,neutral,78.1
3.76,113,neutral,81.5
3.8,114,neutral,86.1
3.83,115,neutral,84.3
3.86,116,neutral,88.7
3.9,117,neutral,89.5
3.93,118,neutral,88.1
3.96,119,neutral,88.6
4.0,120,neutral,81.9
4.03,121,neutral,81.5
4.06,122,neutral,84.5
4.1,123,neutral,79.4
4.13,124,neutral,87.4
4.16,125,neutral,76.5
4.2,126,neutral,64.2
4.23,127,neutral,54.2
4.26,128,neutral,74.1
4.3,129,neutral,67.7
4.33,130,sad,50.6
4.36,131,sad,66.3
4.4,132,sad,68.1
4.43,133,sad,61.8
4.46,134,sad,41.0
4.5,135,sad,59.2
4.53,136,sad,51.5
4.56,137,happy,49.0
4.6,138,happy,50.8
4.63,139,happy,55.4
4.66,140,happy,61.9
4.69,141,happy,59.4
4.73,142,happy,54.3
4.76,143,sad,38.3
4.79,144,neutral,43.9
4.83,145,happy,37.9
4.86,146,happy,82.7
4.89,147,happy,80.1
4.93,148,happy,86.1
4.96,149,happy,84.5
4.99,150,happy,89.9
5.03,151,happy,88.9
5.06,152,happy,86.9
5.09,153,happy,87.6
5.13,154,happy,82.8
5.16,155,happy,85.2
5.19,156,happy,83.1
5.23,157,happy,76.4
5.26,158,happy,75.9
5.29,159,happy,75.4
5.33,160,happy,75.5
5.36,161,happy,73.9
5.39,162,happy,77.7
5.43,163,happy,74.9
5.46,164,happy,71.1
5.49,165,happy,63.6
5.53,166,happy,66.5
5.56,167,happy,41.2
5.59,168,fear,77.7
5.63,169,fear,43.9
5.66,170,happy,67.9
5.69,171,happy,79.8
5.73,172,happy,52.1
5.76,173,happy,63.1
5.79,174,happy,83.9
5.83,175,happy,95.6
5.86,176,happy,97.8
5.89,177,happy,99.0
5.93,178,happy,99.3
5.96,179,happy,99.9
5.99,180,happy,98.2
6.03,181,happy,75.4
6.06,182,happy,71.0
6.09,183,happy,63.9
6.13,184,sad,77.2
6.16,185,sad,71.6
6.19,186,sad,94.4
6.23,187,sad,95.2
6.26,188,sad,96.5
6.29,189,sad,96.4
6.33,190,sad,98.6
6.36,191,sad,97.9
6.39,192,sad,98.2
6.43,193,sad,97.8
6.46,194,sad,96.5
6.49,195,sad,95.3
6.53,196,sad,91.9
6.56,197,sad,85.6
6.59,198,sad,53.6
6.63,199,fear,72.1
6.66,200,fear,65.1
6.69,201,fear,58.1
6.73,202,fear,67.4
6.76,203,fear,76.4
6.79,204,fear,80.6
6.83,205,fear,83.2
6.86,206,fear,90.8
6.89,207,fear,86.8
6.93,208,fear,85.6
6.96,209,fear,86.0
6.99,210,fear,77.0
7.03,211,fear,75.2
7.06,212,fear,60.5
7.09,213,fear,62.8
7.13,214,sad,78.4
7.16,215,sad,87.9
7.19,216,sad,54.9
7.23,217,happy,48.4
7.26,218,sad,82.2
7.29,219,sad,85.4
7.33,220,sad,70.4
7.36,221,sad,50.4
7.39,222,sad,43.7
7.43,223,fear,77.7
7.46,224,fear,72.3
7.49,225,fear,57.9
7.53,226,fear,57.1
7.56,227,fear,70.9
7.59,228,fear,82.5
7.63,229,fear,82.6
7.66,230,fear,89.3
7.69,231,fear,84.8
7.73,232,fear,75.7
7.76,233,fear,84.3
7.79,234,fear,86.2
7.82,235,fear,85.0
7.86,236,fear,67.2
7.89,237,fear,64.9
7.92,238,fear,50.3
7.96,239,neutral,47.7
7.99,240,neutral,46.1
8.02,241,neutral,47.3
8.06,242,neutral,70.0
8.09,243,neutral,61.1
8.12,244,neutral,58.3
8.16,245,surprise,63.7
8.19,246,happy,34.4
8.22,247,happy,43.6
8.26,248,neutral,34.1
8.29,249,neutral,32.1
8.32,250,sad,31.4
8.36,251,happy,37.4
8.39,252,sad,46.8
8.42,253,sad,61.3
8.46,254,sad,47.1
8.49,255,sad,36.7
8.52,256,sad,48.1
8.56,257,sad,44.1
8.59,258,sad,71.1
8.62,259,sad,66.7
8.66,260,sad,63.0
8.69,261,sad,56.5
8.72,262,sad,56.6
8.76,263,sad,41.1
8.79,264,neutral,41.5
8.82,265,neutral,41.9
8.86,266,sad,43.4
8.89,267,neutral,53.5
8.92,268,neutral,42.6
8.96,269,neutral,43.4
8.99,270,neutral,41.2
9.02,271,neutral,41.7
9.06,272,neutral,38.1
9.09,273,happy,48.4
9.12,274,happy,50.2
9.16,275,happy,76.0
9.19,276,happy,87.2
9.22,277,happy,95.1
9.26,278,happy,95.7
9.29,279,happy,99.0
